"";"x"
"1";" twittazo"
"2";" twitazo"
"3";" semaforazo"
"4";" ladrillazo"
"5";" tractorazo"
"6";" banderazo"
"7";" camionetazo"
"8";" imput"
"9";" acampando"
"10";" acampar"
"11";" acampe"
"12";" acciones de violencia"
"13";" acciones violentas"
"14";" actos violentos"
"15";" adviert"
"16";" advert"
"17";" advirt"
"18";" agredi"
"19";" agredie"
"20";" agredir"
"21";" agresión"
"22";" agresion"
"23";" agresiones"
"24";" alerta de"
"25";" alertan"
"26";" amenaz"
"27";" apalea"
"28";" apaleó"
"29";" apaleo"
"30";" apedre"
"31";" asamblea"
"32";" ataca"
"33";" ataque"
"34";" banca 25"
"35";" banca abierta"
"36";" barricada"
"37";" batalla"
"38";" bloquea"
"39";" bloqueo"
"40";" bloqueó"
"41";" bocinazo"
"42";" caravana"
"43";" besazo"
"44";" tetazo"
"45";" boicot"
"46";" bronca"
"47";" cacerolazo"
"48";" calle cortada"
"49";" calles cortada"
"50";" carner"
"51";" conciliación obligatoria"
"52";" conciliacion obligatoria"
"53";" conciliación no obligatoria"
"54";" conciliacion no obligatoria"
"55";" conferencia de prensa"
"56";" rueda de prensa"
"57";" continua la ocupación"
"58";" continua la toma"
"59";" continúa la ocupación"
"60";" continúa la toma"
"61";" continua el acampe"
"62";" continúa el acampe"
"63";" continua la usurp"
"64";" continúa la usurp"
"65";" cortarán el acceso"
"66";" cortarán el puerto"
"67";" cortarán el tránsito"
"68";" cortarán la avenida"
"69";" cortarán la calle"
"70";" cortarán la intersección"
"71";" cortarán la ruta"
"72";" cortarán las avenidas"
"73";" cortarán las calles"
"74";" cortarán las intersecciones"
"75";" cortarán las rutas"
"76";" cortarán los accesos"
"77";" cortaran el acceso"
"78";" cortaran el puerto"
"79";" cortaran el tránsito"
"80";" cortaran el transito"
"81";" cortaran la avenida"
"82";" cortaran la calle"
"83";" cortaran la intersecc"
"84";" cortaran la ruta"
"85";" cortaran las avenidas"
"86";" cortaran las calles"
"87";" cortaran las rutas"
"88";" cortaran los accesos"
"89";" cortaron el acceso"
"90";" cortaron el puerto"
"91";" cortaron el tránsito"
"92";" cortaron el transito"
"93";" cortaron la avenida"
"94";" cortaron la calle"
"95";" cortaron la intersecc"
"96";" cortaron la ruta"
"97";" cortaron las avenidas"
"98";" cortaron las calles"
"99";" cortaron las rutas"
"100";" cortaron los accesos"
"101";" corte de calle"
"102";" corte de la av"
"103";" corte de la calle"
"104";" corte de la ruta"
"105";" corte de ruta"
"106";" corte en la av"
"107";" corte en la calle"
"108";" corte en la ruta"
"109";" corte en las calles"
"110";" corte en las rutas"
"111";" cortes de calle"
"112";" cortes de las av"
"113";" cortes de las calles"
"114";" cortes de las rutas"
"115";" cortes de ruta"
"116";" cortes en las av"
"117";" crumir"
"118";" demanda"
"119";" denunci"
"120";" pedir"
"121";" pidie"
"122";" pedido"
"123";" manifestar su preocupa"
"124";" manifestaron su preocupa"
"125";" manifestar la preocupa"
"126";" manifestaron la preocupa"
"127";" desaloj"
"128";" enfrentamiento"
"129";" se enfrentaron"
"130";" escrach"
"131";" estado de alerta"
"132";" fue agredid"
"133";" fue atacad"
"134";" fue bloque"
"135";" fue ocupad"
"136";" fue tomad"
"137";" fueron agredid"
"138";" fueron bloquead"
"139";" golpiza"
"140";" hechos de violencia"
"141";" hechos violentos"
"142";" huelga"
"143";" acatamiento"
"144";" incendiar"
"145";" incidentes"
"146";" justicia por mano propia"
"147";" krumi"
"148";" lincha"
"149";" lockout"
"150";" lucha"
"151";" malestar"
"152";" manifestaci"
"153";" para manifes"
"154";" marcha"
"155";" medida de fuerza"
"156";" medidas de fuerza"
"157";" motín"
"158";" motin"
"159";" amotin"
"160";" movilizaci"
"161";" concentraci"
"162";" negociación colectiva"
"163";" negociacion colectiva"
"164";" paran"
"165";" pararon"
"166";" paritaria"
"167";" paro"
"168";" paró"
"169";" petici"
"170";" pide"
"171";" piquete"
"172";" plan de lucha"
"173";" protesta"
"174";" quema"
"175";" rebeli"
"176";" rechaz"
"177";" reclam"
"178";" represi"
"179";" reprime"
"180";" reprimie"
"181";" repudian"
"182";" retención de servicios"
"183";" retención de tarea"
"184";" retencion de servicios"
"185";" retencion de tarea"
"186";" revuelta"
"187";" rompehuelga"
"188";" rompieron"
"189";" ruta cortada"
"190";" rutas cortadas"
"191";" avenida cortada"
"192";" avenidas cortadas"
"193";" tránsito cortado"
"194";" transito cortado"
"195";" sabot"
"196";" se concentrarán"
"197";" se concentraran"
"198";" se concentraron"
"199";" se concentran"
"200";" se encaden"
"201";" se enfren"
"202";" se manifestaron"
"203";" se manifestaran"
"204";" se manifestarán"
"205";" se reuniran"
"206";" se reunirán"
"207";" se reunieron"
"208";" será bloquead"
"209";" serán bloquead"
"210";" sera bloquead"
"211";" seran bloquead"
"212";" sirenazo"
"213";" solicita "
"214";" trabajo a reglamento"
"215";" trabajo a tristeza"
"216";" tregua"
"217";" resisten"
"218";" ira "
"219";" tuitazo"
